Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4
42558,776.179,299.3323869,182.0755208,1.644001267,0.793728624,43129,232.7800003,0.811927656,0.986760648,0.887702202,0.77766393,0.007033516,0.001586792,0.604761188,0.994228159
29651,640.693,235.8028788,160.453744,1.469600353,0.732787916,30008,194.300864,0.713587794,0.988103172,0.907714453,0.823996997,0.007952611,0.002261476,0.678971051,0.997816096
31794,670.637,247.673948,163.7450997,1.512557924,0.750269863,32247,201.1998461,0.765143311,0.985952182,0.888341627,0.81235773,0.007789959,0.002092687,0.659925081,0.998174911
47753,822.431,305.6519678,199.8362509,1.52951212,0.756664593,48404,246.5786041,0.696890095,0.986550698,0.887179669,0.806729974,0.006400686,0.001672319,0.650813251,0.995426755
50824,899.867,366.8201927,178.4143389,2.056001749,0.87374688,51974,254.3838175,0.73872093,0.977873552,0.78871855,0.693483681,0.00721746,0.001029696,0.480919616,0.988771571
42944,781.224,300.1481307,183.2049857,1.638318573,0.792107277,43471,233.8332718,0.786145791,0.987876975,0.884221773,0.779059564,0.006989291,0.001588165,0.606933804,0.994350924
46243,800.216,299.5363521,197.3083247,1.518113098,0.752394781,46768,242.6487508,0.749578552,0.988774376,0.907489071,0.810081144,0.006477442,0.001720669,0.65623146,0.996233575
91565,1153.995,453.3610781,259.4846038,1.747159837,0.820004217,92497,341.4442545,0.785291595,0.989923998,0.864035347,0.753139762,0.004951249,0.000982645,0.567219501,0.991023131
31644,662.474,245.6391118,164.8483672,1.490091264,0.741366989,32069,200.7246675,0.791416567,0.986747326,0.906073781,0.817152717,0.007762581,0.002135005,0.667738562,0.994991398
50573,883.651,366.3602801,177.7668948,2.060902737,0.874389742,51154,253.7548886,0.802644109,0.988642139,0.813892477,0.692637555,0.007244187,0.001028475,0.479746783,0.988711457
42343,777.505,287.2648556,188.7754963,1.521727456,0.753761659,42866,232.1912618,0.731489479,0.987799188,0.880207586,0.808282869,0.006784235,0.001786217,0.653321197,0.994176803
162787,1570.975,603.2660979,347.0391861,1.738322708,0.81796557,165512,455.265687,0.814061179,0.983535937,0.828878808,0.754668112,0.003705862,0.000741469,0.569523959,0.990016431
25885,587.92,218.8234957,150.9335567,1.449800167,0.724047387,26146,181.5428479,0.746137438,0.990017594,0.941069211,0.829631422,0.00845368,0.002470395,0.688288296,0.997880486
37265,700.187,232.9372916,204.1582816,1.140964206,0.481489818,37602,217.8239464,0.778950669,0.991037711,0.955174904,0.935118396,0.006250833,0.002948384,0.874446414,0.997712058
35017,701.208,263.8951604,169.143899,1.560181372,0.767581696,35418,211.1516733,0.703576452,0.988678073,0.894942382,0.800134694,0.007536201,0.001905393,0.640215528,0.998852341
45287,800.096,297.6950696,194.1418214,1.533389701,0.758090006,45723,240.1274646,0.794508772,0.990464318,0.888994794,0.806622243,0.006573522,0.001716559,0.650639442,0.99768382
32749,676.089,255.6686374,163.3931339,1.564745294,0.769138901,33101,204.199221,0.717408925,0.98936588,0.900326778,0.798687015,0.007806914,0.001959592,0.637900949,0.998152508
51013,826.986,279.1888496,233.0075017,1.198196828,0.550875519,51500,254.8563691,0.767782427,0.990543689,0.937334093,0.912845802,0.005472896,0.002344157,0.833287457,0.998442389
31374,636.401,219.865394,182.0088637,1.207992784,0.56099452,31604,199.8664991,0.769196823,0.99272244,0.973459862,0.909040279,0.007007885,0.002951884,0.826354229,0.998229946
63015,970.092,351.9240147,228.2761847,1.541658912,0.761085211,63991,283.2546379,0.709668337,0.984747855,0.841449309,0.804874422,0.005584766,0.001445763,0.647822835,0.998721848
32376,643.009,219.1300137,188.3004274,1.163725525,0.511456521,32608,203.0330109,0.784302326,0.992885182,0.984008731,0.926541314,0.006768286,0.00307693,0.858478807,0.9990337
32685,667.306,251.0103646,166.1443327,1.510797031,0.749590136,32949,203.9995944,0.744193989,0.991987617,0.922376636,0.812713828,0.007679681,0.002066681,0.660503767,0.99788713
37064,710.701,265.110185,178.2092278,1.487634441,0.740362208,37390,217.2357026,0.706142356,0.991281091,0.922121819,0.819416661,0.007152768,0.001989175,0.671443665,0.99886272
49066,821.717,310.2911232,201.8246541,1.537429233,0.759560686,49495,249.9455371,0.759512089,0.991332458,0.913158098,0.805519457,0.006323954,0.001642376,0.648861596,0.997578785
35881,701.083,248.8147513,184.5394134,1.34830141,0.670760604,36323,213.7407498,0.708550553,0.987831402,0.917350981,0.859035683,0.006934443,0.002329358,0.737942304,0.99496865
31422,652.173,236.3748951,169.5242381,1.394342766,0.696884095,31770,200.0193315,0.749052421,0.98904627,0.928363502,0.846195326,0.007522592,0.002379194,0.716046531,0.9984143
44699,767.062,264.3649451,215.4349162,1.227122092,0.579580718,45085,238.5634809,0.756943033,0.991438394,0.954655622,0.902402097,0.005914337,0.00241928,0.814329545,0.999281775
35197,700.976,263.1297559,170.888144,1.539777715,0.760409089,35571,211.6936755,0.701526748,0.989485817,0.900138245,0.804521993,0.007475914,0.001931949,0.647255637,0.996629805
